id,balls_per_over,team,team_1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire_2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,Column1
426393,6,Australia,Pakistan,male,2010,06-07-10,MCC Spirit of Cricket T20I Series,2,Edgbaston,Birmingham,Pakistan,bat,Mohammad Amir,Asad Rauf,Zameer Haider,RJ Bailey,Ahsan Raza,J Srinath,Pakistan,11,,2.1.0
426417,6,England,Pakistan,male,2010,05-09-10,Pakistan in England T20I Series,1,Sophia Gardens,Cardiff,England,field,MH Yardy,RA Kettleborough,NJ Llong,JH Evans,RK Illingworth,JJ Crowe,England,,5,2.1.0
426418,6,England,Pakistan,male,2010,07-09-10,Pakistan in England T20I Series,2,Sophia Gardens,Cardiff,Pakistan,bat,TT Bresnan,IJ Gould,RK Illingworth,JH Evans,RA Kettleborough,JJ Crowe,England,,6,2.1.0
426723,6,New Zealand,Pakistan,male,2009/10,12-11-09,Pakistan v New Zealand T20I Series,1,Dubai International Cricket Stadium,,New Zealand,field,Imran Nazir,Nadeem Ghauri,Zameer Haider,Iftikhar Ali,,AJ Pycroft,Pakistan,49,,2.1.0
426724,6,New Zealand,Pakistan,male,2009/10,13-11-09,Pakistan v New Zealand T20I Series,2,Dubai International Cricket Stadium,,Pakistan,bat,Umar Akmal,Nadeem Ghauri,Zameer Haider,Iftikhar Ali,Ahsan Raza,AJ Pycroft,Pakistan,7,,2.1.0
430884,6,India,Sri Lanka,male,2009/10,09-12-09,Sri Lanka in India T20I Series,1,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,field,KC Sangakkara,AM Saheba,SK Tarapore,SN Bandekar,SS Hazare,JJ Crowe,Sri Lanka,29,,2.1.0
430885,6,India,Sri Lanka,male,2009/10,12-12-09,Sri Lanka in India T20I Series,2,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Sri Lanka,bat,Yuvraj Singh,SS Hazare,SK Tarapore,SN Bandekar,S Asnani,JJ Crowe,India,,6,2.1.0
439139,6,West Indies,Zimbabwe,male,2009/10,28-02-10,,,"Queen's Park Oval, Port of Spain",Trinidad,Zimbabwe,bat,AG Cremer,CR Duncan,NA Malcolm,K Barrasingha,GE Greaves,RS Mahanama,Zimbabwe,26,,2.1.0
439146,6,West Indies,South Africa,male,2010,19-05-10,South Africa in West Indies T20I Series,1,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,R McLaren,CR Duncan,NA Malcolm,GE Greaves,CE Mack,RS Mahanama,South Africa,13,,2.1.0
439495,6,Afghanistan,Ireland,male,2009/10,09-02-10,ICC World Twenty20 Qualifier,2,Dubai International Cricket Stadium,,Ireland,field,Mohammad Nabi,JJ Luck,SR Modi,Aleem Dar,,DT Jukes,Afghanistan,13,,2.1.0
439497,6,Canada,Netherlands,male,2009/10,09-02-10,ICC World Twenty20 Qualifier,4,Dubai International Cricket Stadium,,Canada,bat,B Zuiderent,Aleem Dar,SR Modi,JJ Luck,,DT Jukes,Netherlands,,6,2.1.0
439499,6,Canada,Kenya,male,2009/10,10-02-10,ICC World Twenty20 Qualifier,6,Dubai International Cricket Stadium,,Kenya,field,AA Obanda,JJ Luck,Sarika Prasad,Aleem Dar,,Ishtiaq Ahmed,Kenya,,9,2.1.0
439505,6,Ireland,Scotland,male,2009/10,11-02-10,ICC World Twenty20 Qualifier,12,Dubai International Cricket Stadium,,Ireland,bat,DT Johnston,Aleem Dar,PK Baldwin,SR Modi,,DT Jukes,Ireland,37,,2.1.0
439507,6,Afghanistan,Netherlands,male,2009/10,12-02-10,ICC World Twenty20 Qualifier,13,Dubai International Cricket Stadium,,Netherlands,field,RN ten Doeschate,SR Modi,Sarika Prasad,JJ Luck,,DT Jukes,Netherlands,,4,2.1.0
